iteration, year, temp, rain, diffuse, concentrated, gelifluction, chemicalW, physicalW, deposition, totbio, FA_max, sedoutflow, waterout, sinkcount 
-10, -10, 10.000000, 600.000000, 1137.61319150, 344.866986301469864883983973413705825805664062500000000000000000000000000000000000000, 10756.52584970, 16.25416848, 2.96406903, 10949.03920150, 849461635.19612217, 646264.933, 0.00099228,  646264933.30652, 0 
-9, -9, 10.000000, 600.000000, 6808.12468636, 255.644484453967208992253290489315986633300781250000000000000000000000000000000000000, 10813.34373920, 2.98991150, 2.96692174, 16158.42249917, 849461635.19612217,  30006.060, 0.00132207,  30006060.22279, 549 
-8, -8, 10.000000, 600.000000, 6804.24859727, 258.093604172795323847822146490216255187988281250000000000000000000000000000000000000, 10809.98277943, 2.22010291, 2.96977507, 16154.08903403, 849461635.19612217,  22074.778, 0.00132172,  22074777.79184, 582 
-7, -7, 10.000000, 600.000000, 6800.27329700, 256.271131581145766631379956379532814025878906250000000000000000000000000000000000000, 10811.68110037, 2.11232272, 2.97263557, 16151.98251609, 849461635.19612217,  21697.935, 0.00132019,  21697935.32424, 621 
-6, -6, 10.000000, 600.000000, 6795.75289545, 258.508457279947378992801532149314880371093750000000000000000000000000000000000000000, 10808.94919967, 2.14651497, 2.97550121, 16147.03028607, 849461635.19612217,  22417.872, 0.00132014,  22417871.79036, 597 
-5, -5, 10.000000, 600.000000, 6790.89732621, 256.878934648067456691933330148458480834960937500000000000000000000000000000000000000, 10810.67258055, 2.10227490, 2.97837452, 16144.12595281, 849461635.19612217,  21872.690, 0.00131871,  21872689.70823, 639 
-4, -4, 10.000000, 600.000000, 6785.71683340, 258.974242397601358334213728085160255432128906250000000000000000000000000000000000000, 10807.68174527, 2.16711215, 2.98125478, 16138.20194066, 849461635.19612217,  22455.358, 0.00131859,  22455357.83808, 604 
-3, -3, 10.000000, 600.000000, 6780.30714050, 257.394668531887134577118558809161186218261718750000000000000000000000000000000000000, 10809.26558485, 2.11914039, 2.98414128, 16134.68012469, 849461635.19612217,  22377.196, 0.00131714,  22377196.12998, 640 
-2, -2, 10.000000, 600.000000, 6774.45623026, 259.363027340555845512426458299160003662109375000000000000000000000000000000000000000, 10806.60952713, 2.16933305, 2.98703435, 16128.42186744, 849461635.19612217,  22527.640, 0.00131693,  22527640.46473, 595 
-1, -1, 10.000000, 600.000000, 6768.30415944, 257.827178076102711656858446076512336730957031250000000000000000000000000000000000000, 10808.02274663, 2.13957473, 2.98993374, 16123.94809255, 849461635.19612217,  22401.015, 0.00131554,  22401015.46214, 624 
